description,category
Online course,Education
Pizza hut,Food & Drink
Concert ticket,Entertainment
Burger King,Food & Drink
Gym membership,Fitness
Online course,Education
Netflix subscription,Entertainment
Personal trainer,Fitness
Dental appointment,Healthcare
Electronics store,Shopping
Apple store,Shopping
Study materials,Education
Uber ride,Transport
Costco groceries,Groceries
Personal trainer,Fitness
Online shopping,Shopping
Amazon purchase,Shopping
Optician visit,Healthcare
Streaming service subscription,Entertainment
Therapy session,Healthcare
Bolt ride,Transport
Taxi ride,Transport
Medicine purchase,Healthcare
Dental appointment,Healthcare
Bike rental,Transport
Flight ticket,Transport
Flight ticket,Transport
Adidas store,Shopping
Pilates class,Fitness
Ebay purchase,Shopping
Yoga retreat,Fitness
Trader Joe's,Groceries
Ebay purchase,Shopping
Concert ticket,Entertainment
Grocery store,Groceries
Seminar fee,Education
Concert ticket,Entertainment
Pharmacy purchase,Healthcare
Taxi ride,Transport
Martial arts class,Fitness
School books,Education
Streaming service subscription,Entertainment
Movie theater,Entertainment
Hulu subscription,Entertainment
Car service,Transport
Netflix subscription,Entertainment
Clinic visit,Healthcare
Spotify subscription,Entertainment
Clinic visit,Healthcare
Spotify subscription,Entertainment
Pilates class,Fitness
Video game purchase,Entertainment
University fee,Education
Flight ticket,Transport
Medical checkup,Healthcare
Bus ticket,Transport
Target store,Shopping
Metro card,Transport
Concert ticket,Entertainment
School books,Education
Optician visit,Healthcare
Supermarket,Groceries
Burger King,Food & Drink
Dental appointment,Healthcare
Burger King,Food & Drink
Amusement park,Entertainment
Cycling class,Fitness
Uber ride,Transport
Yoga retreat,Fitness
Fresh market,Groceries
Concert ticket,Entertainment
Apple store,Shopping
KFC meal,Food & Drink
Amusement park,Entertainment
McDonald's meal,Food & Drink
Netflix subscription,Entertainment
Cinema ticket,Entertainment
Zara store,Shopping
Local bakery,Food & Drink
Martial arts class,Fitness
Farmers market,Groceries
School books,Education
Electronics store,Shopping
Hospital bill,Healthcare
Streaming service subscription,Entertainment
Food delivery app,Food & Drink
Flight ticket,Transport
Online course,Education
Fresh market,Groceries
Cycling class,Fitness
Electronics store,Shopping
KFC meal,Food & Drink
Streaming service subscription,Entertainment
Martial arts class,Fitness
Clothing store,Shopping
Spotify subscription,Entertainment
Health insurance,Healthcare
Adidas store,Shopping
Electronics store,Shopping
Costco groceries,Groceries
Walmart groceries,Groceries
Martial arts class,Fitness
McDonald's meal,Food & Drink
Adidas store,Shopping
Online grocery,Groceries
Medical checkup,Healthcare
Starbucks coffee,Food & Drink
Food delivery app,Food & Drink
Hulu subscription,Entertainment
Exam registration,Education
University fee,Education
Medicine purchase,Healthcare
Subway meal,Food & Drink
Walmart groceries,Groceries
Electronics store,Shopping
Electronics store,Shopping
Pizza hut,Food & Drink
Burger King,Food & Drink
H&M store,Shopping
Disney+ subscription,Entertainment
Cycling class,Fitness
Online shopping,Shopping
Streaming service subscription,Entertainment
Streaming service subscription,Entertainment
School books,Education
Movie theater,Entertainment
Amazon purchase,Shopping
Flight ticket,Transport
Grocery store,Groceries
Adidas store,Shopping
Online shopping,Shopping
Bus ticket,Transport
Bolt ride,Transport
Walmart groceries,Groceries
Disney+ subscription,Entertainment
Disney+ subscription,Entertainment
Crossfit gym,Fitness
Adidas store,Shopping
Health insurance,Healthcare
Study materials,Education
School books,Education
Online shopping,Shopping
Study materials,Education
Pilates class,Fitness
Car service,Transport
Cycling class,Fitness
Uber ride,Transport
Online shopping,Shopping
Costco groceries,Groceries
Metro card,Transport
Target store,Shopping
Apple store,Shopping
Gym membership,Fitness
Gym membership,Fitness
Crossfit gym,Fitness
McDonald's meal,Food & Drink
School books,Education
Fitness equipment,Fitness
Amazon purchase,Shopping
Exam registration,Education
Medicine purchase,Healthcare
Cycling class,Fitness
Fitness equipment,Fitness
Bus ticket,Transport
Seminar fee,Education
Burger King,Food & Drink
Walmart groceries,Groceries
Pizza hut,Food & Drink
Spotify subscription,Entertainment
Course materials,Education
Burger King,Food & Drink
Starbucks coffee,Food & Drink
Domino's pizza,Food & Drink
Seminar fee,Education
Bus ticket,Transport
Pizza hut,Food & Drink
KFC meal,Food & Drink
Costco groceries,Groceries
Cycling class,Fitness
Pizza hut,Food & Drink
Uber ride,Transport
Tuition payment,Education
Local bakery,Food & Drink
Hulu subscription,Entertainment
Car service,Transport
Apple store,Shopping
Gas station,Transport
Optician visit,Healthcare
Therapy session,Healthcare
Costco groceries,Groceries
Online course,Education
Dental appointment,Healthcare
Subway meal,Food & Drink
Adidas store,Shopping
Pharmacy purchase,Healthcare
KFC meal,Food & Drink
Spotify subscription,Entertainment
Costco groceries,Groceries
Dental appointment,Healthcare
Seminar fee,Education
Supermarket,Groceries
Study materials,Education
Doctor visit,Healthcare
Adidas store,Shopping
Exam registration,Education
KFC meal,Food & Drink
School books,Education
Yoga class,Fitness
Electronics store,Shopping
Grocery store,Groceries
Disney+ subscription,Entertainment
Spotify subscription,Entertainment
Ebay purchase,Shopping
Metro card,Transport
Bus ticket,Transport
Online shopping,Shopping
Trader Joe's,Groceries
Apple store,Shopping
Clinic visit,Healthcare
Trader Joe's,Groceries
